llm,question_id,mode,trajectory_len,hit,agee,S,I,E,source
Qwen-2.5-7B,44,traversal,3,0,0.6450760945333125,0.6,0.48333333333333334,1.0,measured
Qwen-2.5-7B,45,memory,1,0,,,,,measured
Qwen-2.5-7B,46,memory,1,0,,,,,measured
Qwen-2.5-7B,47,memory,1,0,,,,,measured
Qwen-2.5-7B,48,memory,1,0,,,,,measured
Qwen-2.5-7B,49,memory,1,0,,,,,measured
Qwen-2.5-7B,50,memory,1,0,,,,,measured
Qwen-2.5-7B,51,memory,1,0,,,,,measured
Qwen-2.5-7B,52,memory,1,0,,,,,measured
Qwen-2.5-7B,53,traversal,7,1,0.6299977695322581,0.875,0.2346938775510204,1.0,measured
Qwen-2.5-7B,54,memory,1,0,,,,,measured
Qwen-2.5-7B,55,memory,1,1,,,,,measured
Qwen-2.5-7B,56,traversal,3,1,0.4274508964167456,0.13636363636363635,0.5353535353535354,1.0,measured
Qwen-2.5-7B,57,memory,1,0,,,,,measured
Qwen-2.5-7B,58,memory,1,0,,,,,measured
Qwen-2.5-7B,59,traversal,3,1,0.31720830278269163,0.0004761904761904762,0.609347442680776,1.0,measured
Qwen-2.5-7B,60,memory,1,1,,,,,measured
Qwen-2.5-7B,61,memory,1,1,,,,,measured
Qwen-2.5-7B,62,memory,1,0,,,,,measured
Qwen-2.5-7B,63,memory,1,0,,,,,measured
Qwen-2.5-7B,64,memory,1,0,,,,,measured
Qwen-2.5-7B,65,memory,1,1,,,,,measured
Qwen-2.5-7B,66,memory,1,0,,,,,measured
Qwen-2.5-7B,67,memory,1,0,,,,,measured
Qwen-2.5-7B,68,memory,1,0,,,,,measured
Qwen-2.5-7B,69,memory,1,0,,,,,measured
Qwen-2.5-7B,70,traversal,8,1,0.56878690983226,0.7272727272727273,0.21704545454545454,1.0,measured
Qwen-2.5-7B,71,memory,1,0,,,,,measured
Qwen-2.5-7B,72,memory,1,0,,,,,measured
Qwen-2.5-7B,73,traversal,8,1,0.6266373844020073,0.9,0.21458333333333335,1.0,measured
Qwen-2.5-7B,74,memory,1,0,,,,,measured
Qwen-2.5-7B,75,traversal,5,1,0.4337855685175778,0.23809523809523808,0.3719047619047619,1.0,measured
Qwen-2.5-7B,76,traversal,4,1,0.6699402553641818,0.8,0.3625,1.0,measured
Qwen-2.5-7B,77,memory,1,0,,,,,measured
Qwen-2.5-7B,78,memory,1,0,,,,,measured
Qwen-2.5-7B,79,memory,1,1,,,,,measured
Qwen-2.5-7B,80,memory,1,0,,,,,measured
Qwen-2.5-7B,81,memory,1,0,,,,,measured
Qwen-2.5-7B,82,memory,1,0,,,,,measured
Qwen-2.5-7B,83,traversal,8,0,0.5997544812932966,0.7536496350364964,0.25628526024103243,1.0,measured
Qwen-2.5-7B,84,memory,1,0,,,,,measured
Qwen-2.5-7B,86,memory,1,0,,,,,measured
Qwen-2.5-7B,87,traversal,7,1,0.6194069144396271,0.6853333333333332,0.37322737094837927,0.9375,measured
Qwen-2.5-7B,88,memory,1,0,,,,,measured
Qwen-2.5-7B,89,memory,1,0,,,,,measured
Qwen-2.5-7B,90,memory,1,0,,,,,measured
Qwen-2.5-7B,91,traversal,6,1,0.5188772251086106,0.3612342865730913,0.4837954764178261,0.8947368421052633,measured
Qwen-2.5-7B,92,memory,1,0,,,,,measured
Qwen-2.5-7B,93,memory,1,1,,,,,measured
Qwen-2.5-7B,94,memory,1,0,,,,,measured
Qwen-2.5-7B,95,memory,1,0,,,,,measured
Qwen-2.5-7B,96,traversal,6,1,0.6838194440251192,1.0,0.2555555555555556,1.0,measured
Qwen-2.5-7B,97,memory,1,0,,,,,measured
Qwen-2.5-7B,98,memory,1,0,,,,,measured
Qwen-2.5-7B,99,memory,1,0,,,,,measured
Qwen-2.5-7B,100,memory,1,0,,,,,measured
Qwen-2.5-7B,101,memory,1,0,,,,,measured
Qwen-2.5-7B,102,traversal,7,1,0.22755395432613965,0.014314928425357872,0.26205083260297984,1.0,measured
Qwen-2.5-7B,103,traversal,4,1,0.6598321412617915,0.7126436781609194,0.4459247648902821,0.9285714285714286,measured
Qwen-2.5-7B,104,memory,1,0,,,,,measured
Qwen-2.5-7B,105,traversal,8,1,0.6538456350323049,1.0,0.20535714285714285,1.0,measured
Qwen-2.5-7B,106,memory,1,0,,,,,measured
Qwen-2.5-7B,108,traversal,7,1,0.5994777295209069,0.7777777777777778,0.2400793650793651,1.0,measured
Qwen-2.5-7B,109,memory,1,0,,,,,measured
Qwen-2.5-7B,110,traversal,8,1,0.6189154230250185,0.8192430656649929,0.2646090160262511,0.9574468085106382,measured
Qwen-2.5-7B,111,memory,1,0,,,,,measured
Qwen-2.5-7B,112,traversal,4,1,0.32809927734342303,0.046511627906976744,0.45671834625322993,1.0,measured
Qwen-2.5-7B,114,traversal,4,1,0.6855353328101682,0.7160493827160493,0.504448075526507,0.9285714285714286,measured
Qwen-2.5-7B,115,memory,1,0,,,,,measured
Qwen-2.5-7B,116,memory,1,0,,,,,measured
Qwen-2.5-7B,117,traversal,9,1,0.6373240770976212,1.0,0.2,0.935483870967742,measured
Qwen-2.5-7B,118,traversal,3,0,0.7326815794165765,0.7011494252873562,0.6845175896900034,0.8571428571428572,measured
Qwen-2.5-7B,119,traversal,7,1,0.6676243246041037,1.0,0.22789115646258504,1.0,measured
Qwen-2.5-7B,120,memory,1,0,,,,,measured
Qwen-2.5-7B,121,traversal,3,1,0.506121182921061,0.23076923076923078,0.5918803418803419,1.0,measured
Qwen-2.5-7B,122,memory,1,0,,,,,measured
Qwen-2.5-7B,123,traversal,5,1,0.5633613682984172,0.5201235267833423,0.4643015521064301,0.8,measured
Qwen-2.5-7B,124,memory,1,0,,,,,measured
Qwen-2.5-7B,125,memory,1,0,,,,,measured
Qwen-2.5-7B,126,traversal,11,1,0.5091886576168065,0.599691375826399,0.2358129257263257,0.875,measured
Qwen-2.5-7B,127,traversal,3,1,0.32105699426867257,4.1493775933609944e-05,0.6246369294605809,1.0,measured
Qwen-2.5-7B,128,traversal,4,1,0.45056089639116736,0.21052631578947367,0.4612573099415205,1.0,measured
Qwen-2.5-7B,129,traversal,4,1,0.754891602277598,0.8756760862404527,0.5251225490196079,0.9285714285714286,measured
Qwen-2.5-7B,130,traversal,9,1,0.5641201951223179,0.75,0.19528619528619529,1.0,measured
Qwen-2.5-7B,131,traversal,8,1,0.6259040776249342,0.7934782608695652,0.3038897515527951,0.9361702127659575,measured
Qwen-2.5-7B,132,memory,1,1,,,,,measured
Qwen-2.5-7B,133,memory,1,0,,,,,measured
Qwen-2.5-7B,134,traversal,4,1,0.5082889981645315,0.3333333333333333,0.4393939393939394,1.0,measured
Qwen-2.5-7B,135,memory,1,0,,,,,measured
Qwen-2.5-7B,136,memory,1,1,,,,,measured
Qwen-2.5-7B,137,memory,1,0,,,,,measured
Qwen-2.5-7B,138,memory,1,0,,,,,measured
Qwen-2.5-7B,139,memory,1,0,,,,,measured
Qwen-2.5-7B,140,traversal,7,1,0.5181079277877053,0.5384615384615384,0.25366300366300365,1.0,measured
Qwen-2.5-7B,141,memory,1,0,,,,,measured
Qwen-2.5-7B,142,memory,1,0,,,,,measured
Qwen-2.5-7B,143,memory,1,0,,,,,measured
Qwen-2.5-7B,144,memory,1,0,,,,,measured
Qwen-2.5-7B,145,traversal,9,1,0.5494552395499372,0.7406454496153463,0.23055555555555557,0.8387096774193548,measured
Qwen-2.5-7B,146,traversal,6,1,0.6441280146765829,0.7666666666666666,0.38511904761904764,0.8846153846153846,measured
Qwen-2.5-7B,147,memory,1,0,,,,,measured
Qwen-2.5-7B,148,traversal,5,1,0.551069005173909,0.5154607158468694,0.3435897435897436,1.0,measured
Qwen-2.5-7B,149,memory,1,0,,,,,measured
Qwen-2.5-7B,150,memory,1,0,,,,,measured
Qwen-2.5-7B,151,traversal,5,1,0.7195603305505357,0.7371982470297319,0.5848193887596347,0.9,measured
Qwen-2.5-7B,152,traversal,9,1,0.5607878768599562,0.7045454545454546,0.2395622895622896,0.935483870967742,measured
Qwen-2.5-7B,153,memory,1,0,,,,,measured
Qwen-2.5-7B,154,traversal,4,1,0.6537841122122126,0.49582302511911613,0.7385038310319955,0.8181818181818181,measured
Qwen-2.5-7B,155,memory,1,0,,,,,measured
Qwen-2.5-7B,156,traversal,5,1,0.6675637174262421,0.8190712252830503,0.36469745793054065,0.95,measured
Qwen-2.5-7B,157,traversal,4,0,0.7109039241786773,0.7844827586206896,0.5019157088122606,0.9285714285714286,measured
Qwen-2.5-7B,158,memory,1,0,,,,,measured
Qwen-2.5-7B,159,traversal,6,0,0.6077044435606993,0.75,0.2738095238095238,1.0,measured
Qwen-2.5-7B,160,memory,1,1,,,,,measured
Qwen-2.5-7B,161,memory,1,0,,,,,measured
Qwen-2.5-7B,162,traversal,5,1,0.5122399252274895,0.4166666666666667,0.3515151515151515,1.0,measured
Qwen-2.5-7B,163,memory,1,0,,,,,measured
Qwen-2.5-7B,164,memory,1,0,,,,,measured
Qwen-2.5-7B,165,memory,1,0,,,,,measured
Qwen-2.5-7B,166,traversal,7,1,0.599498996232489,0.5976652734268284,0.3774801587301587,1.0,measured
Qwen-2.5-7B,167,traversal,3,1,0.7580979616572823,0.7018315094628395,0.6657938567400813,1.0,measured
Qwen-2.5-7B,168,memory,1,0,,,,,measured
Qwen-2.5-7B,169,memory,1,0,,,,,measured
Qwen-2.5-7B,170,memory,1,0,,,,,measured
Qwen-2.5-7B,171,memory,1,0,,,,,measured
Qwen-2.5-7B,172,traversal,6,1,0.5576329218237137,0.6,0.2851851851851852,1.0,measured
Qwen-2.5-7B,173,memory,1,0,,,,,measured
Qwen-2.5-7B,174,traversal,5,1,0.6347705006071646,0.6666666666666666,0.3955555555555556,1.0,measured
Qwen-2.5-7B,175,memory,1,0,,,,,measured
Qwen-2.5-7B,176,traversal,4,1,0.6653822347435276,0.625,0.5080915178571428,1.0,measured
Qwen-2.5-7B,177,memory,1,0,,,,,measured
Qwen-2.5-7B,178,traversal,5,1,0.5924992791099493,0.6153979170272448,0.34625000000000006,1.0,measured
Qwen-2.5-7B,179,traversal,6,1,0.6412776051956836,0.8571428571428571,0.26587301587301587,1.0,measured
Qwen-2.5-7B,180,memory,1,0,,,,,measured
Qwen-2.5-7B,181,memory,1,0,,,,,measured
Qwen-2.5-7B,182,memory,1,0,,,,,measured
Qwen-2.5-7B,183,memory,1,0,,,,,measured
Qwen-2.5-7B,184,traversal,7,1,0.5526531684685028,0.6363636363636364,0.24805194805194805,1.0,measured
Qwen-2.5-7B,185,memory,1,0,,,,,measured
Qwen-2.5-7B,186,traversal,5,0,0.5640839337667529,0.5555555555555556,0.33611111111111114,1.0,measured
Qwen-2.5-7B,187,traversal,8,1,0.5542991629140137,0.5572200435433254,0.3701896050553112,0.868421052631579,measured
Qwen-2.5-7B,188,memory,1,0,,,,,measured
Qwen-2.5-7B,189,memory,1,0,,,,,measured
Qwen-2.5-7B,190,traversal,3,1,0.35504598622162953,6.68300289596792e-05,0.7636630281428678,1.0,measured
Qwen-2.5-7B,191,memory,1,0,,,,,measured
Qwen-2.5-7B,192,memory,1,0,,,,,measured
Qwen-2.5-7B,193,traversal,3,1,0.7536480455567394,0.7557500476765387,0.5968379446640316,1.0,measured
Qwen-2.5-7B,194,traversal,6,1,0.6412776051956836,0.8571428571428571,0.26587301587301587,1.0,measured
Qwen-2.5-7B,195,traversal,7,1,0.661126983267543,0.7511766824480249,0.4986411720655946,0.7692307692307693,measured
Qwen-2.5-7B,196,memory,1,0,,,,,measured
Qwen-2.5-7B,197,memory,1,0,,,,,measured
Qwen-2.5-7B,198,memory,1,0,,,,,measured
Qwen-2.5-7B,199,traversal,4,1,0.5356757699574611,0.4,0.4277777777777778,1.0,measured
Llama-3.1-8B,0,memory,1,1,,,,,estimated
Llama-3.1-8B,1,traversal,4,1,0.5981496717529754,0.5714285714285714,0.39880952380952384,1.0,estimated
Llama-3.1-8B,2,memory,1,0,,,,,estimated
Llama-3.1-8B,3,traversal,5,1,0.4879473373527564,0.35714285714285715,0.35824175824175825,1.0,estimated
Llama-3.1-8B,4,memory,1,0,,,,,estimated
Llama-3.1-8B,5,memory,1,0,,,,,estimated
Llama-3.1-8B,6,traversal,4,1,0.6506977705053001,0.5047773284169801,0.7168484271572518,0.8181818181818181,estimated
Llama-3.1-8B,7,traversal,5,1,0.7030499987246199,1.0,0.29,1.0,estimated
Llama-3.1-8B,8,memory,1,1,,,,,estimated
Llama-3.1-8B,9,memory,1,0,,,,,estimated
Llama-3.1-8B,10,traversal,5,0,0.659251052905477,0.7140041590071083,0.4094087441253854,1.0,estimated
Llama-3.1-8B,11,traversal,6,1,0.6457302391493633,0.7254901960784313,0.44281045751633985,0.8461538461538461,estimated
Llama-3.1-8B,12,traversal,8,0,0.46859401456026456,0.4150777545591807,0.25526502853784716,1.0,estimated
Llama-3.1-8B,13,traversal,5,1,0.7030499987246199,1.0,0.29,1.0,estimated
Llama-3.1-8B,14,memory,1,0,,,,,estimated
Llama-3.1-8B,15,traversal,6,0,0.7055516211850079,0.9334142722244705,0.35053721644977914,0.9705882352941175,estimated
Llama-3.1-8B,16,traversal,8,1,0.5923446631836045,0.8,0.2138888888888889,1.0,estimated
Llama-3.1-8B,17,traversal,5,1,0.7030499987246199,1.0,0.29,1.0,estimated
Llama-3.1-8B,18,traversal,6,1,0.5383205236145169,0.5454545454545454,0.28939393939393937,1.0,estimated
Llama-3.1-8B,19,traversal,8,0,0.5017706765722924,0.5333333333333333,0.2255952380952381,1.0,estimated
Llama-3.1-8B,20,traversal,7,1,0.574122386129957,0.7,0.24444444444444446,1.0,estimated
Llama-3.1-8B,21,traversal,9,0,0.6168549728819346,0.8048780487804879,0.26781723957590453,0.9636363636363636,estimated
Llama-3.1-8B,22,traversal,9,1,0.5860616328424997,0.8181818181818182,0.19292929292929292,1.0,estimated
Llama-3.1-8B,23,memory,1,0,,,,,estimated
Llama-3.1-8B,24,traversal,9,1,0.5001993662601841,0.5625,0.20185185185185184,1.0,estimated
Llama-3.1-8B,25,traversal,4,0,0.7154048949015166,0.6839826839826839,0.5732788447074162,1.0,estimated
Llama-3.1-8B,26,traversal,7,0,0.7190071906902509,0.922770453367853,0.4036689880514082,0.9318181818181819,estimated
Llama-3.1-8B,27,traversal,10,0,0.5528638874650347,0.6923076923076923,0.21088578088578086,1.0,estimated
Llama-3.1-8B,28,traversal,8,1,0.6538456350323049,1.0,0.20535714285714285,1.0,estimated
Llama-3.1-8B,29,memory,1,0,,,,,estimated
Llama-3.1-8B,30,traversal,11,1,0.5887713522284689,0.8333333333333334,0.2217324762779308,0.9014084507042253,estimated
Llama-3.1-8B,31,traversal,7,1,0.6090964348485252,0.7872046965857777,0.2844387755102041,0.9130434782608696,estimated
Llama-3.1-8B,32,memory,1,0,,,,,estimated
Llama-3.1-8B,33,traversal,8,1,0.5921335388166866,0.7352941176470589,0.25431839402427636,1.0,estimated
Llama-3.1-8B,34,traversal,9,1,0.6331938401489327,0.8092170896335464,0.36192891105150604,0.8125,estimated
Llama-3.1-8B,35,memory,1,0,,,,,estimated
Llama-3.1-8B,36,traversal,9,1,0.6177600795383874,0.8363636363636363,0.2474429382030461,0.96875,estimated
Llama-3.1-8B,37,traversal,3,1,0.613190537409625,0.5,0.5111111111111112,1.0,estimated
Llama-3.1-8B,38,traversal,9,1,0.6116559138141632,0.9,0.19012345679012346,1.0,estimated
Llama-3.1-8B,39,memory,1,0,,,,,estimated
Llama-3.1-8B,40,traversal,6,1,0.490762201050489,0.35178536552197304,0.47478951396861846,0.7894736842105263,estimated
Llama-3.1-8B,41,traversal,5,1,0.7030499987246199,1.0,0.29,1.0,estimated
Llama-3.1-8B,42,memory,1,0,,,,,estimated
Llama-3.1-8B,44,memory,1,0,,,,,estimated
Llama-3.1-8B,45,memory,1,0,,,,,estimated
Llama-3.1-8B,46,traversal,11,0,0.5687192620382192,0.7839738118166414,0.207291177119738,0.9263157894736842,estimated
Llama-3.1-8B,47,memory,1,0,,,,,estimated
Llama-3.1-8B,48,traversal,7,1,0.47626983483683427,0.48069848845718804,0.2997732426303855,0.782608695652174,estimated
Llama-3.1-8B,49,traversal,10,1,0.5260417331590447,0.6666666666666666,0.18047619047619048,1.0,estimated
Llama-3.1-8B,50,traversal,5,0,0.6388092557638493,0.6785714285714286,0.39421768707482996,1.0,estimated
Llama-3.1-8B,51,traversal,5,1,0.7173860790735664,0.6871155089533361,0.6028275163120735,0.95,estimated
Llama-3.1-8B,52,traversal,3,0,0.7241767359135385,0.7166666666666666,0.5619047619047619,1.0,estimated
Llama-3.1-8B,53,memory,1,0,,,,,estimated
Llama-3.1-8B,54,traversal,5,1,0.7030499987246199,1.0,0.29,1.0,estimated
Llama-3.1-8B,55,memory,1,0,,,,,estimated
Llama-3.1-8B,56,traversal,8,1,0.5960559303853712,0.8636363636363636,0.2212121212121212,0.8888888888888888,estimated
Llama-3.1-8B,57,traversal,4,1,0.5981496717529754,0.5714285714285714,0.39880952380952384,1.0,estimated
Llama-3.1-8B,58,traversal,5,1,0.5521078240081272,0.38621059305809713,0.5591572989644293,0.8666666666666667,estimated
Llama-3.1-8B,59,memory,1,0,,,,,estimated
Llama-3.1-8B,60,traversal,7,1,0.6676243246041037,1.0,0.22789115646258504,1.0,estimated
Llama-3.1-8B,61,traversal,8,1,0.6538456350323049,1.0,0.20535714285714285,1.0,estimated
Llama-3.1-8B,62,traversal,7,0,0.574122386129957,0.7,0.24444444444444446,1.0,estimated
Llama-3.1-8B,63,memory,1,0,,,,,estimated
Llama-3.1-8B,64,memory,1,0,,,,,estimated
Llama-3.1-8B,65,traversal,6,1,0.6838194440251192,1.0,0.2555555555555556,1.0,estimated
Llama-3.1-8B,66,memory,1,1,,,,,estimated
Llama-3.1-8B,67,memory,1,0,,,,,estimated
Llama-3.1-8B,68,memory,1,0,,,,,estimated
Llama-3.1-8B,69,memory,1,0,,,,,estimated
Llama-3.1-8B,70,traversal,11,1,0.6226105384859137,1.0,0.1578512396694215,1.0,estimated
Llama-3.1-8B,71,traversal,8,1,0.6538456350323049,1.0,0.20535714285714285,1.0,estimated
Llama-3.1-8B,72,traversal,10,1,0.6042050747609169,0.7213662542747449,0.33967204670329665,0.873015873015873,estimated
Llama-3.1-8B,73,traversal,7,0,0.6258991575049498,0.8455380299191111,0.24523809523809526,1.0,estimated
Llama-3.1-8B,74,traversal,8,1,0.5309719411484539,0.6153846153846154,0.2219551282051282,1.0,estimated
Llama-3.1-8B,75,traversal,5,1,0.4337855685175778,0.23809523809523808,0.3719047619047619,1.0,estimated
Llama-3.1-8B,76,memory,1,0,,,,,estimated
Llama-3.1-8B,77,traversal,7,1,0.6299977695322581,0.875,0.2346938775510204,1.0,estimated
Llama-3.1-8B,78,traversal,8,1,0.6538456350323049,1.0,0.20535714285714285,1.0,estimated
Llama-3.1-8B,79,traversal,6,1,0.6838194440251192,1.0,0.2555555555555556,1.0,estimated
Llama-3.1-8B,80,traversal,11,1,0.4958409738032817,0.533129905593843,0.23923489591916614,0.9285714285714285,estimated
Llama-3.1-8B,81,traversal,5,1,0.5269807843486494,0.45454545454545453,0.3472727272727273,1.0,estimated
Llama-3.1-8B,82,memory,1,0,,,,,estimated
Llama-3.1-8B,83,traversal,7,0,0.5964817901301623,0.7116608413478687,0.29104365739978494,0.96875,estimated
Llama-3.1-8B,84,traversal,8,1,0.6143080902624808,0.8552631578947368,0.2492324561403509,0.9148936170212766,estimated
Llama-3.1-8B,86,memory,1,0,,,,,estimated
Llama-3.1-8B,87,memory,1,0,,,,,estimated
Llama-3.1-8B,88,traversal,3,1,0.5379035228737238,0.3,0.5703703703703704,1.0,estimated
Llama-3.1-8B,89,memory,1,0,,,,,estimated
Llama-3.1-8B,90,traversal,9,1,0.6419891972749879,1.0,0.1867283950617284,1.0,estimated
Llama-3.1-8B,91,traversal,6,0,0.6293560140228959,0.6461074331665241,0.4015807003866943,1.0,estimated
Llama-3.1-8B,92,memory,1,0,,,,,estimated
Llama-3.1-8B,93,traversal,7,1,0.5621059814945002,0.6581175710322192,0.34061771561771564,0.78125,estimated
Llama-3.1-8B,94,memory,1,0,,,,,estimated
Llama-3.1-8B,95,traversal,4,0,0.7509024541282433,0.8205128205128206,0.5275641025641026,1.0,estimated
Llama-3.1-8B,96,traversal,6,1,0.6838194440251192,1.0,0.2555555555555556,1.0,estimated
Llama-3.1-8B,97,traversal,3,1,0.588418909566282,0.42857142857142855,0.5317460317460317,1.0,estimated
Llama-3.1-8B,98,traversal,3,1,0.506121182921061,0.23076923076923078,0.5918803418803419,1.0,estimated
Llama-3.1-8B,99,memory,1,1,,,,,estimated
Llama-3.1-8B,100,memory,1,0,,,,,estimated
Llama-3.1-8B,101,traversal,6,1,0.6838194440251192,1.0,0.2555555555555556,1.0,estimated
Llama-3.1-8B,102,traversal,9,1,0.48340441576809196,0.45438744070089643,0.30195247833284644,0.8709677419354839,estimated
Llama-3.1-8B,103,traversal,7,1,0.6270235807900497,0.7471264367816092,0.3139274518584863,1.0,estimated
Llama-3.1-8B,104,traversal,6,1,0.5383205236145169,0.5454545454545454,0.28939393939393937,1.0,estimated
Llama-3.1-8B,105,traversal,8,1,0.6538456350323049,1.0,0.20535714285714285,1.0,estimated
Llama-3.1-8B,106,memory,1,0,,,,,estimated
Llama-3.1-8B,108,traversal,7,1,0.5994777295209069,0.7777777777777778,0.2400793650793651,1.0,estimated
Llama-3.1-8B,109,traversal,7,1,0.6462613608161927,0.7906976744186046,0.3421037019458946,0.9487179487179487,estimated
Llama-3.1-8B,110,memory,1,0,,,,,estimated
Llama-3.1-8B,111,traversal,7,1,0.5341905811597496,0.5833333333333334,0.2510822510822511,1.0,estimated
Llama-3.1-8B,112,memory,1,0,,,,,estimated
Llama-3.1-8B,114,traversal,6,0,0.6200410523155085,0.7407407407407407,0.3362987170176713,0.9230769230769231,estimated
Llama-3.1-8B,115,traversal,7,1,0.5794849230329399,0.7692307692307692,0.2565846851561137,0.8695652173913043,estimated
Llama-3.1-8B,116,memory,1,0,,,,,estimated
Llama-3.1-8B,117,memory,1,0,,,,,estimated
Llama-3.1-8B,118,traversal,6,1,0.60497699846739,0.735632183908046,0.3422587948450017,0.8461538461538461,estimated
Llama-3.1-8B,119,traversal,5,1,0.6174136752845653,0.7142857142857143,0.3190476190476191,1.0,estimated
Llama-3.1-8B,120,traversal,8,0,0.35574875125616495,0.19047619047619047,0.24114401858304296,1.0,estimated
Llama-3.1-8B,121,traversal,7,1,0.5181079277877053,0.5384615384615384,0.25366300366300365,1.0,estimated
Llama-3.1-8B,122,traversal,6,1,0.7440610528836702,0.8949494949494949,0.49186868686868684,0.911764705882353,estimated
Llama-3.1-8B,123,traversal,11,1,0.5080086797035144,0.6341463414634146,0.2110461600483773,0.8717948717948718,estimated
Llama-3.1-8B,124,traversal,8,0,0.66474629179519,0.812088998928608,0.3425788497217069,1.0,estimated
Llama-3.1-8B,125,traversal,3,1,0.5684458481096544,0.375,0.5476190476190476,1.0,estimated
Llama-3.1-8B,126,traversal,8,1,0.5235223484447727,0.5846630617576337,0.32424277287369785,0.763157894736842,estimated
Llama-3.1-8B,127,memory,1,0,,,,,estimated
Llama-3.1-8B,128,traversal,11,1,0.48678015597745516,0.5789473684210527,0.16772993088782562,1.0,estimated
Llama-3.1-8B,129,memory,1,0,,,,,estimated
Llama-3.1-8B,130,traversal,6,1,0.5216783038847626,0.5,0.29292929292929293,1.0,estimated
Llama-3.1-8B,131,traversal,5,1,0.6476542605651819,0.7634113606881218,0.365527950310559,0.9500000000000001,estimated
Llama-3.1-8B,132,traversal,8,1,0.6172785401885161,0.9,0.22395833333333331,0.9259259259259259,estimated
Llama-3.1-8B,133,traversal,9,1,0.6419891972749879,1.0,0.1867283950617284,1.0,estimated
Llama-3.1-8B,134,memory,1,0,,,,,estimated
Llama-3.1-8B,135,traversal,10,1,0.6071440465237421,0.8655309017096867,0.27024030391377324,0.8108108108108107,estimated
Llama-3.1-8B,136,traversal,5,1,0.6038368320256197,0.625,0.42474747474747476,0.8666666666666667,estimated
Llama-3.1-8B,137,memory,1,1,,,,,estimated
Llama-3.1-8B,138,traversal,8,1,0.5017706765722924,0.5333333333333333,0.2255952380952381,1.0,estimated
Llama-3.1-8B,139,memory,1,0,,,,,estimated
